JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR
2460310.5,A.D. 2024-Jan-01 00:00:00.0000,-24810993.2596539,144994861.2736719,-8215.203670851886,-29.84146365518679,-5.126262286859617,0.001184224839788195,490.6805533402575,147102329.1786759,
2460310.541666667,A.D. 2024-Jan-01 01:00:00.0000,-24918415.9920641,144976367.6377772,-8210.926230244339,-29.83782950138685,-5.147979561182867,0.001192121190544349,490.6803203096349,147102259.3178528,
2460310.583333333,A.D. 2024-Jan-01 02:00:00.0000,-25025825.6131477,144957795.82311,-8206.620469547808,-29.83417958410855,-5.16969493663453,0.001199958145445601,490.6800922881919,147102190.9587439,
2460310.625,A.D. 2024-Jan-01 03:00:00.0000,-25133222.06614808,144939145.8365242,-8202.286603361368,-29.83051389883489,-5.191408403168785,0.001207735293129231,490.6798692690836,147102124.0992972,
2460310.666666667,A.D. 2024-Jan-01 04:00:00.0000,-25240605.29429232,144920417.68491,-8197.924847707152,-29.8268324410585,-5.213119950706477,0.001215452225277636,490.6796512454385,147102058.7374528,
2460310.708333333,A.D. 2024-Jan-01 05:00:00.0000,-25347975.2407913,144901611.375194,-8193.53542008251,-29.82313520628146,-5.234829569135568,0.001223108536579254,490.6794382103575,147101994.8711422,
2460310.75,A.D. 2024-Jan-01 06:00:00.0000,-25455331.84883975,144882726.9143393,-8189.118539474905,-29.81942219001526,-5.256537248311584,0.001230703824690371,490.6792301569149,147101932.4982892,
2460310.791666667,A.D. 2024-Jan-01 07:00:00.0000,-25562675.06161625,144863764.3093455,-8184.67442625016,-29.81569338778063,-5.278242978058024,0.001238237690201593,490.6790270781576,147101871.6168094,
2460310.833333333,A.D. 2024-Jan-01 08:00:00.0000,-25670004.82228325,144844723.5672489,-8180.203302271664,-29.81194879510741,-5.299946748166803,0.001245709736595213,490.678828967106,147101812.2246103,
2460310.875,A.D. 2024-Jan-01 09:00:00.0000,-25777321.07398714,144825604.6951225,-8175.705390803516,-29.80818840753447,-5.321648548398658,0.001253119570214345,490.6786358167543,147101754.3195916,
2460310.916666667,A.D. 2024-Jan-01 10:00:00.0000,-25884623.75985827,144806407.7000766,-8171.180916495621,-29.80441222060949,-5.34334836848355,0.001260466800218962,490.6784476200697,147101697.8996449,
2460310.958333333,A.D. 2024-Jan-01 11:00:00.0000,-25991912.82301097,144787132.589258,-8166.630105443299,-29.80062022988879,-5.365046198121073,0.001267751038554144,490.6782643699939,147101642.9626543,
2460311.0,A.D. 2024-Jan-01 12:00:00.0000,-26099188.20654359,144767779.369851,-8162.053185068071,-29.79681243093719,-5.386742026980836,0.001274971899912103,490.6780860594421,147101589.5064957,
2460311.041666667,A.D. 2024-Jan-01 13:00:00.0000,-26206449.85353853,144748348.0490771,-8157.450384274125,-29.79298881932781,-5.408435844702847,0.001282129001699328,490.6779126813037,147101537.5290374,
2460311.083333333,A.D. 2024-Jan-01 14:00:00.0000,-26313697.70706227,144728838.634195,-8152.821933232248,-29.78914939064184,-5.430127640897882,0.001289221963998166,490.6777442284418,147101487.0281399,
2460311.125,A.D. 2024-Jan-01 15:00:00.0000,-26420931.71016537,144709251.1325009,-8148.168063543737,-29.78529414046841,-5.451817405147851,0.001296250409531297,490.6775806936951,147101438.0016561,
2460311.166666667,A.D. 2024-Jan-01 16:00:00.0000,-26528151.80588257,144689585.5513288,-8143.489008150995,-29.78142306440427,-5.473505127006151,0.001303213963633532,490.6774220698755,147101390.4474314,
2460311.208333333,A.D. 2024-Jan-01 17:00:00.0000,-26635357.93723274,144669841.89805,-8138.785001330078,-29.77753615805361,-5.495190795998005,0.00131011225420874,490.67726834977,147101344.3633032,
2460311.25,A.D. 2024-Jan-01 18:00:00.0000,-26742550.04721894,144650020.1800737,-8134.056278683245,-29.77363341702786,-5.516874401620805,0.001316944911702755,490.6771195261406,147101299.7471015,
2460311.291666667,A.D. 2024-Jan-01 19:00:00.0000,-26849728.07882847,144630120.404847,-8129.303077153862,-29.76971483694534,-5.538555933344426,0.001323711569070962,490.6769755917237,147101256.5966488,
2460311.333333333,A.D. 2024-Jan-01 20:00:00.0000,-26956891.97503283,144610142.5798549,-8124.525635026395,-29.7657804134311,-5.560235380611545,0.001330411861739211,490.676836539231,147101214.9097603,
